
Timer0 IRQ fires every 500 microseconds.
Timer1 is a free running timer. PC increments very 10 nsec and TC increments every 1 sec.
0: TC = 0, PC = 99975011
1: TC = 1, PC = 99975029
2: TC = 2, PC = 99975020
3: TC = 3, PC = 99975012
4: TC = 4, PC = 99975016
5: TC = 5, PC = 99975012
6: TC = 6, PC = 99975016
7: TC = 7, PC = 99975012
8: TC = 8, PC = 99975024
9: TC = 9, PC = 99975029
10: TC = 10, PC = 99975024
11: TC = 11, PC = 99975013
12: TC = 12, PC = 99975024
13: TC = 13, PC = 99975024
14: TC = 14, PC = 99975024
15: TC = 15, PC = 99975024
16: TC = 16, PC = 99975024
17: TC = 17, PC = 99975029
18: TC = 18, PC = 99975013
19: TC = 19, PC = 99975033
20: TC = 20, PC = 99975033
21: TC = 21, PC = 99975033
22: TC = 22, PC = 99975033
23: TC = 23, PC = 99975033
24: TC = 24, PC = 99975033
25: TC = 25, PC = 99975033
26: TC = 26, PC = 99975033
27: TC = 27, PC = 99975033
28: TC = 28, PC = 99975033
29: TC = 29, PC = 99975033
30: TC = 30, PC = 99975033
31: TC = 31, PC = 99975033
32: TC = 32, PC = 99975033
33: TC = 33, PC = 99975033
34: TC = 34, PC = 99975033
35: TC = 35, PC = 99975033
36: TC = 36, PC = 99975033
37: TC = 37, PC = 99975033
38: TC = 38, PC = 99975033
39: TC = 39, PC = 99975033
40: TC = 40, PC = 99975033
41: TC = 41, PC = 99975033
42: TC = 42, PC = 99975033
43: TC = 43, PC = 99975033
44: TC = 44, PC = 99975033
45: TC = 45, PC = 99975033
46: TC = 46, PC = 99975033
47: TC = 47, PC = 99975033
48: TC = 48, PC = 99975033
49: TC = 49, PC = 99975033
50: TC = 50, PC = 99975033
51: TC = 51, PC = 99975033
52: TC = 52, PC = 99975033
53: TC = 53, PC = 99975033
54: TC = 54, PC = 99975033
55: TC = 55, PC = 99975033
56: TC = 56, PC = 99975033
57: TC = 57, PC = 99975033
58: TC = 58, PC = 99975033
59: TC = 59, PC = 99975033
60: TC = 60, PC = 99975033
61: TC = 61, PC = 99975033
62: TC = 62, PC = 99975033
63: TC = 63, PC = 99975033
64: TC = 64, PC = 99975033
65: TC = 65, PC = 99975033
66: TC = 66, PC = 99975033
67: TC = 67, PC = 99975033
68: TC = 68, PC = 99975033
69: TC = 69, PC = 99975033
70: TC = 70, PC = 99975033
71: TC = 71, PC = 99975033
72: TC = 72, PC = 99975033
